source_id,raw_company_name,raw_address,raw_phone,industry,lat,lng,google_rating,google_reviews_count
ChIJX7K6GZwvXIgRcHiNumm-pQ4,Keyrenter Knoxville Property Management,"11020 Kingston Pike #330, Knoxville, TN 37934, USA",(865) 999-4539,,35.8887187,-84.14800679999999,4.8,111
ChIJq5vhFlIuXIgRLX_MH16AWsI,Jacob Lei Property Management LLC,"500 Ebenezer Rd, Knoxville, TN 37923, USA",(865) 675-7368,,35.9054791,-84.0731833,4.2,506
ChIJgYJ1ZNUjXIgR70ydbgTjRvs,Muller Realty and Property Management,"322 Nancy Lynn Ln #1, Knoxville, TN 37919, USA",(865) 272-6164,commercial_real_estate,35.9260775,-84.01019289999999,4.7,62
ChIJm30ut74kXIgRN4eI1g-Gp_I,Brun Property Management LLC,"1013 N Broadway, Knoxville, TN 37917, USA",(865) 686-5312,commercial_real_estate,35.9819349,-83.9234886,3.7,160
ChIJsy3Z1B8lXIgRHl61B3WeE10,Tennessee Valley Realty Associates,"5204 Kingston Pike #21, Knoxville, TN 37919, USA",(865) 247-6749,commercial_real_estate,35.938068,-83.989072,4.5,204
ChIJ9RH_ZQovXIgRxm9PIFOIfwA,Realty Executives Associates Property Management,"1213 W Lamar Alexander Pkwy, Maryville, TN 37801, USA",(865) 984-1111,,35.7509117,-83.9970415,3,17
ChIJTRdmKWwVXIgRyE5ObD_5GVE,Real Property Management Marble City,"3214 Tazewell Pike #103, Knoxville, TN 37918, USA",(865) 265-0535,commercial_real_estate,36.028701,-83.92011889999999,5,23
ChIJ0ThVEQ8WXIgRRkgAUgmJcS0,Asset Realty Management,"4420 Whittle Springs Rd, Knoxville, TN 37917, USA",(865) 247-0027,apartments,36.015524,-83.919266,4.1,446
ChIJv8kvuuYuXIgRhLYwunbB0vM,FIG Property Management,"1719 N Central St, Knoxville, TN 37917, USA",(865) 296-0358,commercial_real_estate,35.9859409,-83.93510119999999,4.1,262
ChIJ-aeXUjkWXIgRRou5eiDhUD8,Pittman Properties,"2204 Nadine St, Knoxville, TN 37917, USA",(865) 282-4344,commercial_real_estate,35.9949902,-83.9155921,5,75
ChIJ93oEKhcjXIgRzsc67mNQWjE,APEX Property Management,"1301 Avalon Dr, Louisville, TN 37777, USA",(865) 934-0968,,35.859899,-83.9802327,3.8,82
ChIJmXyVxP0jXIgRsmFa58954r4,PMI Knoxville,"1209 Euclid Ave NW Ste 205, Knoxville, TN 37921, USA",(865) 973-9696,commercial_real_estate,35.9648637,-83.93576949999999,4.3,50
ChIJLVFOpuIXXIgRt6YtMhko9Rg,Brick & Mortar Properties,"900 E Hill Ave Ste 110, Knoxville, TN 37915, USA",(865) 686-5100,commercial_real_estate,35.96977,-83.9062828,4.4,57
ChIJVVUp_bc8XIgRWgXsrZ43-RQ,Absolute Mountain Property Management LLC,"1553 Coleman Rd, Knoxville, TN 37909, USA",(865) 333-1671,property_management,35.949852,-83.9942394,5,1
ChIJK8grm3g9XIgRyZoz_uJzx_g,NBS Property Management,"6408 Clinton Hwy Ste 7, Knoxville, TN 37912, USA",(865) 347-2729,commercial_real_estate,36.0084788,-84.01035519999999,4.7,25
ChIJ0UW7wFYXXIgRoG41syiHKRM,"Intempus Management - Knoxville, TN","428 E Scott Ave, Knoxville, TN 37917, USA",(844) 548-3983,commercial_real_estate,35.9866168,-83.926824,4.4,42
ChIJH9nl-2IhXIgRs1r-Q0v3rdQ,Meadowland Property Management,"3615 Wrights Ferry Rd, Louisville, TN 37777, USA",(865) 970-4476,,35.8499167,-83.9873647,3.4,47
ChIJvSBF5kYjXIgRn1JkM_os2oI,Wallace Real Estate - Northshore | Property Management & Residential Sales,"813 S Northshore Dr Suite 101, Knoxville, TN 37919, USA",(865) 584-4700,commercial_real_estate,35.9247404,-83.9989476,3.4,25
ChIJMSvqoTA9XIgR8qRVg3yN224,Holmes Property Management,"2428 Sutherland Ave, Knoxville, TN 37919, USA",(865) 444-4065,commercial_real_estate,35.9554494,-83.9548605,2.7,36
ChIJV951l-EhXIgRiB9TF5s7D_Q,Rentique Property Management,"2728 E Broadway Ave, Maryville, TN 37804, USA",(865) 876-7777,,35.7957949,-83.94548499999999,5,6
ChIJ2X_21_8XXIgR5iS9qK3gpM0,Compass Management Group,"820 Sevier Ave, Knoxville, TN 37920, USA",(865) 742-3936,commercial_real_estate,35.958053,-83.9069567,5,11
ChIJZTDD87g7XIgR8z6bm5qZ0bk,Creative Management LLC,"6118 Little Madison Way, Knoxville, TN 37923, USA",(865) 693-8541,,35.9632268,-84.0598778,4.6,16
ChIJMSg9H0AlXIgRq7kWZYztOOA,Associa Tennessee,"9041 Executive Park Dr, Knoxville, TN 37923, USA",(865) 692-0930,,35.922379,-84.0817706,4.1,149
ChIJ3aPi7F49XIgRlKGiMR-EVME,"University Real Estate & Property Management, LLC","603 W Main St Ste 102, Knoxville, TN 37902, USA",(865) 673-6600,commercial_real_estate,35.9606653,-83.9196147,3.2,67
