address,industry,lat,lng,name,phone,place_id,rating,review_count,website
"1411A Northshore Woods Dr, Knoxville, TN 37919, USA",apartments,35.9084207,-84.0111392,Northshore Woods Apartments,(865) 691-7700,ChIJUYzEpWQjXIgR-SV2I9LzR_k,4.1,61,http://www.smdproperty.com/resident-properties/northshore-woods-apartments/
"6315 Kingston Pike, Knoxville, TN 37919, USA",apartments,35.9338302,-84.0074623,Kingston Pointe Apartment Homes,(865) 584-5921,ChIJ4wUl1FEjXIgREM9hNWoOXR4,4.2,79,http://www.kingstonpointeknoxville.com/
"5709 Lyons View Pike, Knoxville, TN 37919, USA",apartments,35.929327,-83.995783,Westcliff Condominiums,(865) 588-9808,ChIJRc7N5DcjXIgRjLDMPtRQPT8,4,40,https://westcliffcondo.com/
"3708 Keowee Ave SW A, Knoxville, TN 37919, USA",apartments,35.931757,-83.96437019999999,Sequoyah Village Apartments,(865) 523-1617,ChIJvxyICtIiXIgRbtFSXwttZvI,3.9,7,http://www.sequoyahvillage.com/
"1400 Kenesaw Ave # 100, Knoxville, TN 37919, USA",apartments,35.9330073,-83.9627813,Hamilton House Condominiums,(865) 523-3741,ChIJayBb-80iXIgR53qOc8qZ5Gg,4.2,19,
"6017 Grace Ln, Knoxville, TN 37919, USA",apartments,35.9273013,-83.9986729,Bell View at Northshore,(865) 988-4554,ChIJaRs-1agjXIgRhTSu7e20jDs,5,2,http://www.dkmanagement.net/
"6305 Kingston Pike, Knoxville, TN 37919, USA",apartments,35.9325473,-84.0064611,Dominion,(865) 225-6506,ChIJXQFEiSo9XIgR5NKyVmHS5b8,2.7,47,https://www.dominion.us/
"4155 Henry Knox Way, Knoxville, TN 37920, USA",apartments,35.9292575,-83.9293422,Redpoint Knoxville,(731) 200-1243,ChIJxa1Yq189XIgRYSLU7UI8r8Y,4.3,89,https://redpoint-knoxville.com/
"3805 Cherokee Woods Way, Knoxville, TN 37920, USA",apartments,35.9350713,-83.9291021,Woodlands of Knoxville,(865) 609-4034,ChIJISR90AEYXIgRwCJR6zkDh0k,3.7,143,http://www.woodlandsofknoxville.com/
"4530 Joe Lewis Rd, Knoxville, TN 37920, USA",apartments,35.9217703,-83.9217793,Montgomery Village,(865) 403-1380,ChIJE8umNhAYXIgRmURmkiAP-OA,3,211,https://www.kcdc.org/housing/montgomery-village/
"2371 Cherokee Rdg Wy, Knoxville, TN 37920, USA",apartments,35.9344566,-83.9357678,Knox Ridge,(844) 454-8244,ChIJX-Q8easiXIgReebgseIi8ok,3.5,264,https://www.knoxridge.com/?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=GMB
"3125 Maloney Rd, Knoxville, TN 37920, USA",apartments,35.9060658,-83.9507919,Lakemoor Station Apartments,,ChIJ1Y5obhQjXIgRpbhnxgHtvGI,4.5,6,https://housing.utk.edu/halls/lakemoor-station/
"3999 Highland Crest Way, Knoxville, TN 37920, USA",apartments,35.9324038,-83.931822,Quarry Trail Student Apartments,(865) 346-3063,ChIJz7jjCaoiXIgRr2D5dmbIjlo,3.7,544,https://www.quarrytrail.com/?y_source=1_MTU3ODk5ODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
"1411 Kenesaw Ave, Knoxville, TN 37919, USA",apartments,35.9331799,-83.9638315,Sequoyah Village,,ChIJWw8wAwAjXIgRQyrTp7wA05w,,,
"1410 Sandstone Loop Way, Knoxville, TN 37920, USA",apartments,35.9335404,-83.9329825,Quarry Trail Building 7,,ChIJW7qIRmcjXIgRJp33IuT19w0,,,
"1160 Keowee Ave SW, Knoxville, TN 37919, USA",apartments,35.9343661,-83.9617667,Kenwood Apartments,(865) 219-9000,ChIJfYSZpM0iXIgRFuMJ2r_LVrA,,,
"1320 Apple Blossom Way, Knoxville, TN 37920, USA",apartments,35.9358424,-83.932344,Orchard At Knoxville Owners,(865) 577-7548,ChIJ4wJi6qoiXIgRl9gBo-DR5XA,,,
"4030 Highland Crest Way, Knoxville, TN 37920, USA",apartments,35.9312485,-83.9315017,Quarry Trail Building 15,,ChIJmcCb58IZXIgRiiY6Y7HYSLs,,,
