address,lat,lng,name,phone,place_id,rating,reviews,website
"100 Vintage Alcoa Wy, Alcoa, TN 37701, USA",35.7650557,-83.9890447,Vintage Hunters Crossing Apartments,(833) 458-1092,ChIJy0dwr4efXogRnQ_on5gDIjs,4.9,132,https://www.vintagehunterscrossing.com/?rcstdid=MQ%3D%3D-WOzw8Oa5P2c%3D
"2700 Emerald Green Way, Knoxville, TN 37917, USA",36.02820010000001,-83.87237619999999,Emerald Knoxville,(865) 213-5473,ChIJDRj6OQAVXIgR8KuhDgKzVyQ,4.9,44,http://2tour.site/qwa/q2jb
"811 Evolve Wy, Knoxville, TN 37915, USA",35.9668801,-83.90653089999999,811 East Downtown Apartments,(865) 346-3822,ChIJtYjZ57kXXIgR1GK56kcdV2M,4.6,140,https://www.southwoodrealty.com/community/811-east-downtown/?utm_knock=g
"1411A Northshore Woods Dr, Knoxville, TN 37919, USA",35.9084207,-84.0111392,Northshore Woods Apartments,(865) 691-7700,ChIJUYzEpWQjXIgR-SV2I9LzR_k,4.1,61,http://www.smdproperty.com/resident-properties/northshore-woods-apartments/
"7401 Vintage Pointe Way, Powell, TN 37849, USA",36.0402026,-84.0104113,Vintage at Emory Road Apartments,(833) 321-3522,ChIJk6JLWNo7XIgRff731y5ZdmQ,4.7,259,https://www.vintageemoryroad.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D
"11608 Lanesborough Way, Farragut, TN 37934, USA",35.89274899999999,-84.1847228,"Lanesborough Apartments, Knoxville, TN",(865) 966-5000,ChIJQSn6aJ0uXIgRcoRDD_dWhGw,4.4,104,http://www.mylanesborough.com/
"712 Breda Dr, Knoxville, TN 37918, USA",36.0057424,-83.9473891,North Ridge Crossing,(865) 403-1320,ChIJa7L5V-o9XIgRq6uLXue9psA,3.8,42,https://www.kcdc.org/housing/north-ridge-crossing/
"3930 Summercrest Way, Knoxville, TN 37918, USA",36.0065197,-83.94639529999999,Summercrest Apartments,(865) 927-3307,ChIJ04oURew9XIgR63Bdc4JEtvI,4.8,12,https://www.summercrestapts.com/?utm_knock=g
"9400 Havenbrooke Way, Knoxville, TN 37922, USA",35.9018559,-84.0879029,The Villas of Emerald Woods,(865) 357-6200,ChIJxRgvNXYlXIgRLqHNSy6iwoc,4.5,122,https://www.emeraldwoodsonline.com/
"520 Windview Way, Knoxville, TN 37919, USA",35.9217792,-84.03047200000002,The Grove at Deane Hill,(865) 769-3900,ChIJ7QHUlb0kXIgRmXBNXCrLBt0,4.3,132,https://www.dlhproperties.net/property/The-Grove-at-Deane-Hill
"215 Florida St, Knoxville, TN 37915, USA",35.9725935,-83.9139841,Yardley Flats Apartments in Knoxville,(865) 217-2516,ChIJnxaXrNkXXIgRlvDEaYyJNGM,4.7,36,https://apartmentsdowntownknoxville.com/
"2100 Wilson Rd Ste A, Knoxville, TN 37912, USA",35.9851718,-83.97215249999999,The Palmer,(865) 268-8985,ChIJq1gKIqs9XIgRl8zJPsKb4zw,4.1,103,http://www.livethepalmer.com/
"1971 Willow Loop Way, Knoxville, TN 37922, USA",35.8582009,-84.08096809999999,Aventine Northshore,(865) 205-6566,ChIJ0WVbbeAlXIgRwh1biU2HlSs,4.9,261,https://www.aventinenorthshore.com/?utm_knock=gmb&utm_source=google+biz&utm_medium=organic&utm_campaign=gbp+lance
"8301 Block House Way, Knoxville, TN 37923, USA",35.9277896,-84.0559931,Bell Walker's Crossing Apartments,(865) 670-8836,ChIJ9T8CRNgkXIgRFeq1AJdDVpU,4.5,237,https://www.bellwalkerscrossing.com/?utm_source=google+local&utm_medium=organic&utm_campaign=website+link+beacon
"10905 Hawkes Bay Wy, Knoxville, TN 37932, USA",35.9249839,-84.1511154,Greystone Pointe,(833) 881-7504,ChIJK0QS4jcuXIgRuVeoNpVHXLs,4.8,195,https://www.greystonepointe.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D&?utm_source=GMB&utm_medium=organic
"300 State St, Knoxville, TN 37902, USA",35.9671969,-83.917352,Marble Alley Lofts,(865) 503-4293,ChIJUxzQ6sUXXIgRonVEghbUyoA,4.7,207,https://www.marblealleylofts.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D&utm_source=google+biz&utm_medium=organic
