address,industry,lat,lng,name,phone,place_id,rating,review_count,website
"6300 Deane Hill Dr, Knoxville, TN 37919, USA",churches,35.9317692,-84.0053028,Central Bearden,(865) 588-0586,ChIJvVLb0U8jXIgRkTWQLToLoY8,4.8,75,http://www.centralbearden.org/
"3140 Maloney Rd, Knoxville, TN 37920, USA",churches,35.902921,-83.9515009,Sevier Heights Church,(865) 577-4222,ChIJJ7wkmusiXIgRsNKEXAMRMTk,4.8,202,https://www.sevierheights.org/
"3330 W Governor John Sevier Hwy, Knoxville, TN 37920, USA",churches,35.8837272,-83.95307509999999,Calvary Knoxville,(865) 609-1385,ChIJEzQ_iOoiXIgRs8YoFQf0oSQ,4.9,147,http://www.calvaryknoxville.org/
"711 S Northshore Dr, Knoxville, TN 37919, USA",churches,35.9260393,-84.0012167,The Cathedral of the Most Sacred Heart of Jesus,(865) 588-0249,ChIJGTO0XUYjXIgR8U35EoIxmW0,4.7,354,http://www.shcathedral.org/
"6708 Westland Dr, Knoxville, TN 37919, USA",churches,35.9181572,-84.00522140000001,Knoxville First Church of God,(865) 588-8819,ChIJs1MyGWgjXIgR5aQqlo7F_TM,4.7,13,http://knoxfirstchurchofgod.com/
"6500 S Northshore Dr, Knoxville, TN 37919, USA",churches,35.9155128,-83.99576429999999,Westminster Presbyterian Church,(865) 584-3957,ChIJ79o-02ojXIgRVDhnFR9IpMo,4.7,17,http://www.wpcknox.org/
"7409 S Northshore Dr, Knoxville, TN 37919, USA",churches,35.9061613,-84.0184558,Rocky Hill Baptist Church,(865) 691-7685,ChIJWw193YIkXIgRgQj3SRi-5wo,4.6,17,http://www.rhbconline.com/
"3805 Maloney Rd, Knoxville, TN 37920, USA",churches,35.9132132,-83.9709354,Lake Hills Presbyterian Church,(865) 577-8510,ChIJnQJ5G-EiXIgRDYJfAD9J2Kc,4.6,17,http://lakehillspres.org/
"200 Lockett Rd, Knoxville, TN 37919, USA",churches,35.93126549999999,-84.0147563,Erin Presbyterian Church,(865) 588-5350,ChIJiynnvFcjXIgRup3GR5dj2vg,4.8,9,http://www.erinpresbyterian.org/
"3700 Keowee Ave SW, Knoxville, TN 37919, USA",churches,35.93431750000001,-83.9641448,Sequoyah Hills Presbyterian,(865) 522-9804,ChIJSdAgdNIiXIgRA6JCcGxvOoE,4.8,13,http://www.sequoyahchurch.org/
"417 Erin Dr, Knoxville, TN 37919, USA",churches,35.9256389,-84.0012931,Sacred Heart Church and School,(865) 588-0415,ChIJL9sfL0QjXIgR3igD3WKtQX4,4.7,42,https://www.shcschool.org/
"800 S Northshore Dr, Knoxville, TN 37919, USA",churches,35.925847,-83.9974031,Episcopal Church Of The Ascension,(865) 588-0589,ChIJw0MZDEcjXIgRB0Ydz6fR0Rw,4.9,42,http://www.knoxvilleascension.org/
"1300 Rocky Hill Rd, Knoxville, TN 37919, USA",churches,35.9058556,-84.0204188,NewLife Gathering,(865) 454-8756,ChIJy76GZVkjXIgR21qfClCvuNY,4.7,16,http://www.newlifeknoxville.org/
"6900 Nubbin Ridge Dr, Knoxville, TN 37919, USA",churches,35.916361,-84.0093653,First Cumberland Presbyterian Church,(865) 588-8581,ChIJR3zyB2cjXIgRrc7Ih4OSkXY,4.4,10,http://www.first-cumberland.org/
"805 S Northshore Dr, Knoxville, TN 37919, USA",churches,35.925263,-83.9994696,Roman Catholic Diocese of Knoxville,(865) 584-3307,ChIJCaeSJ0QjXIgRK4DiIQQGQno,4.8,37,http://www.dioknox.org/
"7001 S Northshore Dr, Knoxville, TN 37919, USA",churches,35.9112127,-84.0079463,St Mark United Methodist Church,(865) 588-0808,ChIJe4aHuWUjXIgRwZBkw4_-IWc,4,2,http://www.stmarkknox.org/
"6900 Kingston Pike, Knoxville, TN 37919, USA",churches,35.9320016,-84.01917180000001,Messiah Lutheran Church,(865) 588-9753,ChIJLe8oTqgkXIgRjqChJ0dH2rE,4.7,15,http://messiahknoxville.org/
"3446 Lake Crossing Ln, Knoxville, TN 37920, USA",churches,35.9111914,-83.9569636,Sevier Heights North Campus,(865) 577-4222,ChIJA6g0PnkjXIgRI66Z6MBYfSk,4.3,3,http://sevierheights.org/
"6228 Anderson Dr, Knoxville, TN 37919, USA",churches,35.9310263,-84.0047378,Samaritan Ministry,(865) 450-1000,ChIJvVLb0U8jXIgRjviG33EHW9Q,4.1,8,http://www.samaritancentral.org/
"1807 Duncan Rd SW, Knoxville, TN 37919, USA",churches,35.9035128,-83.9985629,Zion UMC,,ChIJc2xEqXMjXIgRWYEQth4d3h4,5,2,
"2500 Maryville Pike, Knoxville, TN 37920, USA",churches,35.9073638,-83.9384723,Mt Olive Baptist Church South,(865) 577-5559,ChIJW3mKl5siXIgRlSgejqr-kf0,4.6,38,http://www.mobcknox.com/
"1520 Willoughby Rd, Knoxville, TN 37920, USA",churches,35.9277342,-83.92668049999999,Forward Church,(865) 351-1796,ChIJNZczKgQYXIgRXnOXmtbpFn0,4.5,45,http://www.forwardknoxville.com/
"3200 Maryville Pike, Knoxville, TN 37920, USA",churches,35.8858013,-83.93675449999999,Mountain View United Methodist Church,(865) 573-4731,ChIJzWgNpRoYXIgRNZeomt3hpS0,4.2,5,http://www.mvumcknox.com/
"4121 Geyland Heights Rd, Knoxville, TN 37920, USA",churches,35.930968,-83.9265224,Vestal Baptist Church,(865) 680-5698,ChIJz9C0_QMYXIgRqlwsrR_ho10,4.3,21,
"3113 W Governor John Sevier Hwy, Knoxville, TN 37920, USA",churches,35.8884225,-83.9401424,Arrowhead Church,(865) 573-2000,ChIJ6wDYc3wiXIgRFxIHJAqUbNM,4.9,9,http://www.arrowheadchurch.org/
"1029 Avenue A, Knoxville, TN 37920, USA",churches,35.9257717,-83.9201069,South Point Church,,ChIJeWcA_YAZXIgRDvuBPfOmkog,4.6,5,
"Knoxville, TN 37920, USA",churches,35.8956316,-83.9293967,Friendly Chapel Baptist Church,(865) 573-9758,ChIJpfU-AH8YXIgRQMbTCO6HOCs,5,8,
"4601 Joe Lewis Rd, Knoxville, TN 37920, USA",churches,35.92081599999999,-83.922197,Montgomery Village Baptist Center,(865) 577-6244,ChIJ0WfnFw4YXIgRHPfM2bO3aOc,4.3,32,https://www.kcab.org/montgomery-village-baptist-center
"1700 Woodson Dr, Knoxville, TN 37920, USA",churches,35.9192033,-83.9302735,Seventh Day Christian Assembly,(865) 688-1107,ChIJ86sQKQoYXIgR3xydTadEqKM,4.8,6,http://www.sdca.org/
"1620 W Governor John Sevier Hwy, Knoxville, TN 37920, USA",churches,35.892827,-83.89044679999999,Southside Baptist Church,(865) 573-1881,ChIJj9fnLqsZXIgR-E2KOj55YEU,4.9,37,https://www.southside4you.com/
"115 Ogle Ave, Knoxville, TN 37920, USA",churches,35.9334453,-83.9140932,Vestal United Methodist Church,(865) 361-1380,ChIJgUHQWh4YXIgRvS1xh36lRe8,4.8,24,http://vestalunited.com/
"5623 Magazine Rd, Knoxville, TN 37920, USA",churches,35.91776,-83.89227600000001,South Knoxville Church of God,(865) 573-4141,ChIJMUGjgTQYXIgRsB6F7Z0j29A,4.5,18,http://skcog.com/
"4604 Chapman Hwy, Knoxville, TN 37920, USA",churches,35.9312756,-83.90123299999999,South Knoxville Church Of Christ,(865) 577-9036,ChIJ7dYMRyYYXIgRlAbIlG-EfGc,4.8,9,
"4400 Martin Mill Pike, Knoxville, TN 37920, USA",churches,35.9312727,-83.9121009,Miracle Baptist Church,(865) 705-2778,ChIJUdHmaR8YXIgRBSQPw7ccVys,4.6,10,https://sites.google.com/view/miracle-baptist-church/?fbclid=IwZXh0bgNhZW0CMTEAAR72EiQ5gA6RHXSvKR-DagO874kR6hP8smB7Am4YTs8rLPXF7_31fWodrHPPoA_aem_A6RMg-QMkrmGr5M5BAasBw
"2417 Tipton Station Rd, Knoxville, TN 37920, USA",churches,35.88512060000001,-83.898499,New Salem Methodist Church,(865) 577-0125,ChIJoabFx_sYXIgRfCbA2iopTAc,4.8,6,http://www.holston.org/churches/new-salem-umc-knoxville-tn/
"818 Drive E, Knoxville, TN 37920, USA",churches,35.9249334,-83.9144065,E Avenue House of Prayer,(865) 579-4934,ChIJf8KB0BkYXIgRxCqFnW7jl3Y,4.6,25,
"306 Ogle Ave, Knoxville, TN 37920, USA",churches,35.9312125,-83.9165561,Immanuel Baptist Church,(865) 577-6396,ChIJBT0YHxwYXIgRLRZrDTuX3ko,4.5,8,
"Knoxville, TN 37920, USA",churches,35.8972383,-83.9054338,Harris Chapel Baptist,,ChIJAzgr-VsYXIgRm6GGp3ILeJA,4.5,2,
"6321 Chapman Hwy, Knoxville, TN 37920, USA",churches,35.92086219999999,-83.8709476,Colonial Heights United Methodist Church,(865) 577-2727,ChIJpyqUIMMZXIgRzz4wMdeXsMg,4.8,24,https://chumcknox.com/
"6513 Chapman Hwy, Knoxville, TN 37920, USA",churches,35.920524,-83.8652985,Meridian Baptist Church,(865) 577-6617,ChIJSWtL8-gZXIgRJR9TBAGSXSo,4.9,13,http://mbcknox.org/
"Knoxville, TN 37920, USA",churches,35.924066,-83.8798075,Lake Forest Presbyterian Church,(865) 577-2800,ChIJSxLZFdAZXIgRA-g0rsFdt2A,4.6,8,http://www.lakeforestpc.org/
"999-901 Drive E, Knoxville, TN 37920, USA",churches,35.9245715,-83.9151248,Victory House Of Faith,,ChIJqbdVXxcYXIgRyNVVJOMPQq8,4.4,8,
"5214 Magazine Rd, Knoxville, TN 37920, USA",churches,35.9172748,-83.900142,Moreland Heights Community Church,(865) 705-8746,ChIJSVEfGMQZXIgRP20UoHk93sM,5,1,
"Knoxville, TN 37920, USA",churches,35.9267536,-83.8651903,New Prospect Presbyterian Church,(865) 577-5835,ChIJwVvRLucZXIgRpzORRBpsV70,3.8,5,
"7509 W Dick Ford Ln, Knoxville, TN 37920, USA",churches,35.8993945,-83.8578812,Church of Fire,(865) 617-2142,ChIJQ8CRlsAWXIgRjv8w7AafP5I,5,7,
"6632 Chapman Hwy, Knoxville, TN 37920, USA",churches,35.91964979999999,-83.8590002,Gloria Dei Lutheran Church,(865) 573-5911,ChIJPUDIx-8ZXIgR0aULarClGAg,4.5,11,http://www.gloriadeiknox.org/
"1435 Tipton Station Rd, Knoxville, TN 37920, USA",churches,35.8960876,-83.87063719999999,New Sevier Home Baptist Church,(865) 573-3324,ChIJJxv4MKIZXIgR1onbe8PBN0M,4.8,4,
"833 Avenue A, Knoxville, TN 37920, USA",churches,35.92777410000001,-83.9172188,Redemption Harvest Church Pastor Rebecca Milligan,,ChIJC8A5yRsYXIgRIqf0Q39NcPE,4.8,4,
"8622 Pickens Gap Rd, Knoxville, TN 37920, USA",churches,35.8804302,-83.82747479999999,Galilee Church,(865) 573-0333,ChIJU1NDlckbXIgRdxiihKhgiQo,5,24,http://www.gknoxville.com/
"7604 Chapman Hwy, Knoxville, TN 37920, USA",churches,35.9074527,-83.8368467,Chapman Highway Church of Christ,(865) 573-6638,ChIJWxyaLT0aXIgRGmWMz3gTriI,4.7,10,http://www.ch-coc.com/
"8015 Chapman Hwy, Knoxville, TN 37920, USA",churches,35.9015764,-83.826881,Reformata Baptist Church,(865) 297-3005,ChIJxYdm0QYbXIgRBSCDZqXEVwg,4.6,11,https://reformatabaptistchurch.org/
"408 Tipton Station Rd, Knoxville, TN 37920, USA",churches,35.894336,-83.8355732,Tipton Station Church of Christ,(865) 313-5500,ChIJAWLq7DEaXIgROlp70cocJZs,5,1,http://tiptonstation.churchofchrist.info/
"1501 Kirby Rd, Knoxville, TN 37909, USA",churches,35.9456975,-84.0020833,City Hills Church | Papermill Campus,(865) 291-2393,ChIJi4kg56EvXIgRIpl7aUIMxXA,4.8,148,http://www.cityhills.com/
"3200 Kingston Pike, Knoxville, TN 37919, USA",churches,35.9492217,-83.9566893,Calvary Baptist Church,(865) 523-9419,ChIJn0GQ0Tk9XIgRXKF0zZpb2Yk,4.4,29,https://knoxcalvary.com/
"4070 Kingston Pike, Knoxville, TN 37919, USA",churches,35.9424994,-83.9727945,Saint George Greek Orthodox Church,(865) 522-5043,ChIJLXh4PCo9XIgREaVMOPrSWwM,4.8,117,http://www.saintgeorgeknoxville.com/
"3457 Kingston Pike, Knoxville, TN 37919, USA",churches,35.9481752,-83.9620715,Laurel Church of Christ,(865) 524-1122,ChIJqZxXoDA9XIgRB5f5q9jHtvo,4.6,46,https://www.laurelcc.org/
"3300 Sutherland Ave, Knoxville, TN 37919, USA",churches,35.9489011,-83.9738924,Legacy Church,(865) 484-6086,ChIJ0f0w3Sc9XIgRFj8LLgRkKnU,4.5,17,https://legacyknoxville.com/
"3611 Kingston Pike, Knoxville, TN 37919, USA",churches,35.9467749,-83.9635418,Emmanuel Church Knoxville,,ChIJZbrzTy8XXIgRBsN2YTSngo4,5,16,http://eknox.org/
"4721 Papermill Dr NW, Knoxville, TN 37909, USA",churches,35.94911200000001,-83.9912475,Central Church of God,(865) 584-6388,ChIJAfG1o8g8XIgR47suVDgdmAA,4.9,11,
"4027 Papermill Dr NW, Knoxville, TN 37909, USA",churches,35.9547625,-83.9790118,Freedom Fellowship Christian,(865) 212-3450,ChIJaSpxNdk8XIgRQre7lhPBQgI,4.9,17,
"4407 Sutherland Ave, Knoxville, TN 37919, USA",churches,35.937956,-83.993164,Knox Pub Theology,(865) 588-6562,ChIJLad5JDUjXIgRzfYcfwdBaB0,4.6,19,http://beardenumc.org/
"510 Portland St NW, Knoxville, TN 37919, USA",churches,35.9575972,-83.9546721,Portland Street Baptist Church,(865) 637-7555,ChIJFY6flT89XIgR-IynY8w7PXI,4.6,11,
"1610 Midpark Rd, Knoxville, TN 37921, USA",churches,35.9588653,-84.0074013,Grace Church Knoxville,(865) 281-1500,ChIJiaj1IKM8XIgR697TIZZvyHY,5,16,http://graceknox.org/
"934 N Weisgarber Rd, Knoxville, TN 37909, USA",churches,35.9408217,-84.0098679,Church of the Savior UCC,(865) 584-7531,ChIJc1uZyKw8XIgRyz_VssWZGYw,4.9,27,http://www.cos-ucc.org/
"3316 Kingston Pike, Knoxville, TN 37919, USA",churches,35.9487055,-83.9580861,First Church Knox (First United Methodist Church),(865) 525-0435,ChIJV-0CXDc9XIgR6OwcVbBKy5I,5,3,https://www.firstchurchknox.org/
"3611 Kingston Pike, Knoxville, TN 37919, USA",churches,35.9466942,-83.9635007,Knoxville First Seventh-day Adventist Church,(865) 524-7842,ChIJuUCJMDA9XIgRKvcwF8b-Ud4,4.3,40,http://www.knoxvillefirstsda.com/
"4424 Sutherland Ave, Knoxville, TN 37919, USA",churches,35.93644070000001,-83.9928521,Resurrection Pres. (office),(865) 224-6175,ChIJbdSjhe09XIgREm7YkgNIuo0,5,2,https://www.resurrectionknoxville.com/
"315 S Mohican St, Knoxville, TN 37919, USA",churches,35.9375387,-83.9880975,Two Rivers Church - Bearden Campus,(865) 777-2121,ChIJBfKLWFkjXIgRA0IMcZl19Po,5,8,http://2rc.tv/
"105 Northview St, Knoxville, TN 37919, USA",churches,35.9406727,-83.98799989999999,Knoxville Potters House Christian Fellowship Church,(865) 583-6031,ChIJJ41A4cw8XIgRHEU1rd5CPWY,4.4,7,http://www.knoxpottershouse.com/
"1904 Kim Watt Dr, Knoxville, TN 37909, USA",churches,35.9580351,-83.9853315,Kimwatt Baptist Church,(865) 558-6108,ChIJd053K908XIgRYnxrpXZZ4x8,5,5,
"818 Frank St, Knoxville, TN 37919, USA",churches,35.9543276,-83.9677327,Grove Heights Baptist Church,(865) 680-9358,ChIJ7VlliiM9XIgRiWV-ZLRQ1PQ,4.8,4,
"3407 Sutherland Ave, Knoxville, TN 37919, USA",churches,35.9491187,-83.975551,Sutherland Ave Baptist Church,,ChIJa5Y_9Nc8XIgRDrzOX-J7BRE,5,2,
"2740 Sutherland Ave, Knoxville, TN 37919, USA",churches,35.95360429999999,-83.9619824,Marble City Baptist Church,,ChIJIWEjdVI9XIgRV1ZSNgpDuS0,4,4,
"4407 Knoxville City Greenways, Knoxville, TN 37919, USA",churches,35.9378059,-83.99289879999999,Bearden United Methodist Church,(865) 588-6562,ChIJJXvDCwAjXIgRdge5VRd5y6o,5,2,
"4407 Sutherland Ave, Knoxville, TN 37919, USA",churches,35.9379161,-83.99308669999999,Bearden UMC Childcare Program,(865) 588-1492,ChIJLad5JDUjXIgRT_ftJIMZyF4,4.1,17,http://www.bumcchildcare.org/
"900 Henley St, Knoxville, TN 37902, USA",churches,35.9592676,-83.9204558,Church Street United Methodist Church,(865) 524-3048,ChIJp7iwIMMXXIgRANCuyI8jOzY,4.6,111,http://www.churchstreetumc.org/
"510 W Main St, Knoxville, TN 37902, USA",churches,35.9605462,-83.9184473,First Baptist Church Of Knoxville,(865) 546-9661,ChIJB86CpsMXXIgR5AYBkB2g4jQ,4.6,39,http://fbcknox.org/
"1642 Highland Ave, Knoxville, TN 37916, USA",churches,35.95981,-83.9337863,Redeemer Church of Knoxville,(865) 524-4552,ChIJS-Q5RWA9XIgR6SxFR6jM70U,4.9,31,https://www.redeemerknoxville.org/
