address,industry,lat,lng,name,phone,place_id,rating,review_count,website
"813 S Northshore Dr Suite 202, Knoxville, TN 37919, USA",commercial_real_estate,35.9247139,-83.9989427,Wallace Commercial Real Estate,(865) 690-1111,ChIJE7dFBw8lXIgRfo6uNVW7TK0,5,2,http://www.wallacecre.com/
"7741 S Northshore Dr #103, Knoxville, TN 37919, USA",commercial_real_estate,35.9021927,-84.0229894,Holrob Commercial Realty LLC,(865) 637-3770,ChIJEdhEUUUjXIgR8ZZ70gI_ioc,4.2,17,http://www.holrob.com/
"813 S Northshore Dr #202b, Knoxville, TN 37919, USA",commercial_real_estate,35.924716,-83.9989351,Mike Fuller Realty & Co.,(865) 909-7471,ChIJeSxARcEXXIgRAa20SUlWrQA,4.5,8,http://mikefullerrealty.com/
"109 Circle Ln, Knoxville, TN 37919, USA",commercial_real_estate,35.9330203,-84.01276969999999,Goldman Partners Realty,(865) 444-3240,ChIJb9rbjEUjXIgRpN1lfOsHVVE,4.6,11,https://gprknoxville.com/?utm_source=NEXT&utm_medium=Google_website
"5820 Walden Dr, Knoxville, TN 37919, USA",commercial_real_estate,35.9305609,-83.9981282,Capital Commercial Real Estate,(865) 769-4644,ChIJdbALbFEjXIgRoszUBTe0uPQ,3,2,https://www.capitalrealestate.com/
"128 N Northshore Dr, Knoxville, TN 37919, USA",commercial_real_estate,35.9342939,-84.0019683,"Hatcher-Hill Properties, LLC",(865) 249-8132,ChIJk-cgXE8jXIgRTmX_gS-4Icw,4,4,http://hatcherhill.com
"201 N Weisgarber Rd, Knoxville, TN 37919, USA",commercial_real_estate,35.9337179,-84.00426619999999,The Goswitz Team- Knoxville Realtors,(865) 588-1234,ChIJI-zMb04jXIgRLaQmbB-FF54,4.8,99,https://goswitz.com/
"6332 Baum Dr, Knoxville, TN 37919, USA",commercial_real_estate,35.9289256,-84.0046176,First Commercial Real Estate,(865) 588-1000,ChIJUxbIl24lXIgRfJybM70Lk3U,5,1,http://www.5881000.com/
"813 S Northshore Dr Suite 104, Knoxville, TN 37919, USA",commercial_real_estate,35.9247139,-83.9989427,Tailwater Properties,(865) 588-8663,ChIJh-W9zlgjXIgRcyVOWuCQhmw,3.3,3,http://tailwaterproperties.com/
"813 S Northshore Dr Suite 202, Knoxville, TN 37919, USA",commercial_real_estate,35.9247139,-83.9989427,"Wallace Commercial: Jim Simpson, CCIM",(865) 690-1111,ChIJrSoD-8MkXIgRLCm6jtnny8s,3,1,http://www.wallacecre.com/
"140 Major Reynolds Pl, Knoxville, TN 37919, USA",commercial_real_estate,35.93379650000001,-84.0092937,"Andrew McGranaghan, Realtor",(865) 591-9620,ChIJA5RP2SEjXIgRbhX61EjXHMY,5,19,http://www.wallacetnandrew.com/
"6305 Kingston Pike, Knoxville, TN 37919, USA",commercial_real_estate,35.9325473,-84.0064611,CBRE,(865) 498-6500,ChIJZaxkYcsjXIgRrDdhNUjJ3Wk,,,https://www.cbre.com/knoxville
"118 Westfield Rd SW, Knoxville, TN 37919, USA",commercial_real_estate,35.9338392,-84.01323219999999,Market Realty LLC,(865) 330-9600,ChIJWysNdlcjXIgR9_0zNBrePIU,4.2,5,http://www.tnmarketrealty.com/
"Berkshire Hathaway HomeServices Dean-Smith, 412 S Northshore Dr, Knoxville, TN 37919, USA",commercial_real_estate,35.9289402,-84.0003267,"Debby with a ""Y"" Hill - REALTOR",(865) 567-3204,ChIJueP4hvEjXIgRhGU2g-c_9C8,5,41,http://debbyhill.com/
"322 Nancy Lynn Ln #1, Knoxville, TN 37919, USA",commercial_real_estate,35.9260775,-84.01019289999999,Muller Realty and Property Management,(865) 272-6164,ChIJgYJ1ZNUjXIgR70ydbgTjRvs,4.7,62,https://mullertn.com/
"6480 Kingston Pike, Knoxville, TN 37919, USA",commercial_real_estate,35.9312681,-84.00998380000001,Premier Property Management,(865) 231-9800,ChIJPeRj6FAjXIgR5q8NB13hrs8,3,1,https://ppmknox.com/contact/
"813 S Northshore Dr Suite 101, Knoxville, TN 37919, USA",commercial_real_estate,35.9247404,-83.9989476,Wallace Real Estate - Northshore | Property Management & Residential Sales,(865) 584-4700,ChIJvSBF5kYjXIgRn1JkM_os2oI,3.4,25,http://www.wallacerents.com/
"119 Westfield Rd SW, Knoxville, TN 37919, USA",commercial_real_estate,35.9335491,-84.01378439999999,Connell Properties Inc,(865) 588-0220,ChIJLyRb81YjXIgR8Z1do4s0PP8,4,4,https://www.connellproperties.com/
"265 Brookview Centre Way #201, Knoxville, TN 37919, USA",commercial_real_estate,35.93592,-84.00481769999999,"Blue Ridge Realty, Inc.",(865) 470-4868,ChIJt9MaI9clXIgR9q7D1HrjZ3U,5,2,http://www.blueridgecos.com/
"4722 Old Kingston Pike, Knoxville, TN 37919, USA",commercial_real_estate,35.9393425,-83.98230219999999,SmartSite Commercial Real Estate,(865) 540-6951,ChIJrXEvr0s9XIgR6qUXX3FXpHQ,5,1,https://smartsitecre.com/
"4823 Old Kingston Pike #320, Knoxville, TN 37919, USA",commercial_real_estate,35.93942870000001,-83.9834515,Keller Williams Signature Real Estate,(865) 588-9300,ChIJDWnqEXs9XIgRn9oUDin24Ok,5,1,https://kwsignatureknoxville.com/
"1225 Weisgarber Rd Suite 390, Knoxville, TN 37909, USA",commercial_real_estate,35.9468943,-84.01461859999999,Commercial & Investment Properties Co,(865) 584-3967,ChIJ_cOVfqw8XIgR59xM-2ciagI,5,1,http://www.ciprop.com/
"4823 Old Kingston Pike, Knoxville, TN 37919, USA",commercial_real_estate,35.9394558,-83.9833671,The Cook Team,(865) 722-4102,ChIJ-VuUyNI8XIgRzAOkxh36fWU,5,57,https://gocookteam.com/?utm_source=gbp&utm_medium=organic
"4823 Old Kingston Pike, Knoxville, TN 37919, USA",commercial_real_estate,35.9394558,-83.9833671,Southern Home Group,(865) 661-7175,ChIJn03cNuI9XIgR8Xp200Kj_NQ,5,53,https://www.southernhomegroup.com/
"4823 Old Kingston Pike #320, Knoxville, TN 37919, USA",commercial_real_estate,35.93942870000001,-83.9834515,"Tammy Garber, REALTOR - Keller Williams Signature",(865) 406-6658,ChIJAyEc5E4jXIgR-gJa-bA9xdM,4.7,16,http://knoxvillehomesearcher.com/
"1111 N Northshore Dr S301, Knoxville, TN 37919, USA",commercial_real_estate,35.9386002,-84.0044307,Marcus & Millichap,(865) 299-6300,ChIJTWz4ZlEjXIgRgVWOZyBeSkE,,,https://www.marcusmillichap.com/about-us/offices/knoxville-tennessee?utm_source=google&utm_medium=organic&utm_campaign=gbp-knoxville
"5616 Kingston Pike Suite 202, Knoxville, TN 37919, USA",commercial_real_estate,35.93397119999999,-83.99644719999999,The Carter Group Brokered By: eXp Realty,(865) 803-7846,ChIJF8H8_Qs_XIgRqrtWPO4rJEY,5,127,https://www.thecartergroupsells.com/
"4315 Kingston Pike Ste 210, Knoxville, TN 37919, USA",commercial_real_estate,35.9424449,-83.9783798,Caza Knoxville,(865) 345-2320,ChIJ9aAyMLQ9XIgRljHYgjSYv0g,5,50,https://www.thecazagroup.com/knoxville_tn
"135 S Forest Park Blvd, Knoxville, TN 37919, USA",commercial_real_estate,35.940383,-83.9819817,Cappiello Real Estate,(865) 482-1214,ChIJX0goVTQjXIgRyQWxIm1Bd-k,,,http://cappiellorealestate.com/
"4823 Old Kingston Pike #320, Knoxville, TN 37919, USA",commercial_real_estate,35.93942870000001,-83.9834515,Zach Ivey Group - Keller Williams Signature,(865) 567-5024,ChIJOcCmWnU9XIgRnO67k8kvNhI,5,65,https://www.zachiveygroup.com/
"4823 Old Kingston Pike #320, Knoxville, TN 37919, USA",commercial_real_estate,35.93942870000001,-83.9834515,"Michelle Corley, REALTOR, Keller Williams Signature",(615) 330-5327,ChIJK5MK-8MkXIgRdfVTbmKR1Q4,5,104,http://michellecorley.kw.com/
"4619 Sunflower Rd, Knoxville, TN 37909, USA",commercial_real_estate,35.9585327,-83.9909112,Rand CRE,(865) 471-8479,ChIJsZ6fCsw9XIgR-bV-Ef-hRds,,,
"5204 Kingston Pike #21, Knoxville, TN 37919, USA",commercial_real_estate,35.938068,-83.989072,Tennessee Valley Realty Associates,(865) 247-6749,ChIJsy3Z1B8lXIgRHl61B3WeE10,4.5,204,http://w7t.92e.myftpupload.com/
"2428 Sutherland Ave, Knoxville, TN 37919, USA",commercial_real_estate,35.9554494,-83.9548605,Holmes Property Management,(865) 444-4065,ChIJMSvqoTA9XIgR8qRVg3yN224,2.7,36,https://www.rentutk.com/
"6016 Brookvale Ln Suite 100, Knoxville, TN 37919, USA",commercial_real_estate,35.9369332,-84.00616959999999,Realty Trust Group,(865) 521-0630,ChIJDwmUaEA9XIgRNvpHxja3JYs,4.6,9,http://www.realtytrustgroup.com/
"630 S Concord St, Knoxville, TN 37919, USA",commercial_real_estate,35.9528373,-83.9468643,Avison Young,(865) 450-8883,ChIJa10fJE0jXIgRqPspWM_Hhh4,5,9,https://www.avisonyoung.us/web/knoxville?utm_source=google&utm_medium=gmb
"2505 Kingston Pike, Knoxville, TN 37919, USA",commercial_real_estate,35.952937,-83.943755,"Carl Collins, Realtor, Knoxville TN",(865) 748-7485,ChIJuQiZ4g-Zt4IRUbKTuW6W0ns,5,27,http://carlcollins.remax.com/
"2505 Kingston Pike, Knoxville, TN 37919, USA",commercial_real_estate,35.9529376,-83.9437557,"Emily Collins, Realtor Knoxville TN",(865) 936-4313,ChIJayfCJWI9XIgRdhAxrnLeBdk,5,1,https://emily-collins.remax.com/
"603 W Main St Ste 102, Knoxville, TN 37902, USA",commercial_real_estate,35.9606653,-83.9196147,"University Real Estate & Property Management, LLC",(865) 673-6600,ChIJ3aPi7F49XIgRlKGiMR-EVME,3.2,67,http://www.urehousing.com/
"213 E Moody Ave, Knoxville, TN 37920, USA",commercial_real_estate,35.9393779,-83.9062125,Central and Main Realty LLC,(865) 208-5517,ChIJ-f9LY88XXIgROhm5xGhc3XE,5,3,http://centralandmainrealty.com/
"820 Sevier Ave, Knoxville, TN 37920, USA",commercial_real_estate,35.958053,-83.9069567,Realty Executives South,(865) 910-0708,ChIJkS0NsjUXXIgRIVNPRIfmxlQ,5,6,https://www.reasouth.com/
"800 S Gay St #700, Knoxville, TN 37929, USA",commercial_real_estate,35.9624536,-83.91605820000001,Knoxville Real Estate Professionals Inc.,(865) 766-4090,ChIJ2ZwGVcEXXIgRiOJSgkd3vQo,4.9,57,https://www.knoxvillerealestateprofessionals.com/
"1131 Phillips Ave, Knoxville, TN 37920, USA",commercial_real_estate,35.9612797,-83.9005298,"McDonald Realty, LLC",,ChIJ64_BdwkXXIgRbX9LvdPHiEU,4.8,38,https://cmcdonaldrealty.com/
"2505 Kingston Pike Bldg, Knoxville, TN 37919, USA",commercial_real_estate,35.9528904,-83.94366029999999,KEVIN GRIFFIN REMAX PREFERRED PROPERTIES,(865) 405-5266,ChIJV1FoRjE9XIgRiGj-nMdDlHc,5,4,http://www.knoxville.realestate/
"2505 Kingston Pike Bldg, Knoxville, TN 37919, USA",commercial_real_estate,35.9529798,-83.9437671,"RE/MAX Preferred Properties, Inc",(865) 694-8100,ChIJa-dqsQIvXIgRbahGDpQMUXU,,,
"820 Sevier Ave, Knoxville, TN 37920, USA",commercial_real_estate,35.958053,-83.9069567,Compass Management Group,(865) 742-3936,ChIJ2X_21_8XXIgR5iS9qK3gpM0,5,11,https://compassmanagementgroup.managebuilding.com/Resident/public/home
"900 S Gay St # 1600, Knoxville, TN 37902, USA",commercial_real_estate,35.9616725,-83.91541029999999,Lawler Wood LLC,(865) 637-7777,ChIJeSxARcEXXIgRsA6LjczKuy4,3.7,3,http://www.lawlerwood.com/
"221 W Young High Pike, Knoxville, TN 37920, USA",commercial_real_estate,35.9339782,-83.9073142,Weichert Realtors Advantage Plus - South Knoxville Office,(865) 577-7575,ChIJp7VH04EZXIgR2GCKOFTjdhM,3,2,http://advantageplustn.com/
"820 Sevier Ave, Knoxville, TN 37920, USA",commercial_real_estate,35.958053,-83.9069567,"Lacy Mellon, Realtor, Realty Executives South",(865) 742-3936,ChIJubgW9kkjXIgR579tAkyeuDA,5,46,http://www.lacymellon.com/
"900 S Gay St, Knoxville, TN 37902, USA",commercial_real_estate,35.9618056,-83.91548999999999,"Acadia Real Estate Group, LLC",(865) 549-7427,ChIJ66WrNJYXXIgRjXfdSwZ_GyI,,,
"S Gay St, Knoxville, TN 37929, USA",commercial_real_estate,35.9624057,-83.91605620000001,Providence Commercial Real Estate,086577 70202,ChIJ2ZwGVcEXXIgRD2tBAVTy2yA,,,http://providencecres.com/
"820 Sevier Ave, Knoxville, TN 37920, USA",commercial_real_estate,35.958053,-83.9069567,"Kelly Nichols, Realty Executive Associates South",(865) 389-2568,ChIJle1NF18XXIgR_Du5d1oFfdo,,,http://kellysellstn.com/
"820 Sevier Ave, Knoxville, TN 37920, USA",commercial_real_estate,35.958053,-83.9069567,"Amber Fawcett, Realtor, Realty Executives Associates",(865) 333-8620,ChIJuaoFFngXXIgRS0HG9A6rYQU,5,4,https://www.reasouth.com/
"810 Clinch Ave, Knoxville, TN 37902, USA",commercial_real_estate,35.9619568,-83.92344469999999,ABODE,(855) 252-2633,ChIJBQp7rQf5Y4gRinfoX4Q5_7M,,,https://abode.luxury/
"4619 Sunflower Rd, Knoxville, TN 37909, USA",commercial_real_estate,35.9580211,-83.99175009999999,Rand Capital,(865) 320-0656,ChIJN4PCr8o9XIgRp2jZIRyC4gQ,,,
"5816 Kingston Pike #4, Knoxville, TN 37919, USA",commercial_real_estate,35.9331763,-83.9994148,Transworld Business Advisors of Knoxville & Chattanooga,(865) 315-7327,ChIJ_f-z2cYVXIgRxgqosmhaYyQ,5,134,https://www.tworld.com/locations/knoxvillechattanooga/?utm_campaign=gmb-listing&utm_medium=organic&utm_source=local
"140 Major Reynolds Pl, Knoxville, TN 37919, USA",commercial_real_estate,35.93379650000001,-84.0092937,Hilmar Castillo - Castillo Realty,(865) 437-9539,ChIJrRlobjQjXIgRoLQFNFTQdeE,5,1,https://www.coldwellbanker.com/agent/hilmar.castillo@coldwellbanker.com
"5410 Homberg Dr # A, Knoxville, TN 37919, USA",commercial_real_estate,35.9357851,-83.9911162,Southern Management & Development,(865) 584-4175,ChIJcXAcaTQjXIgRCToHiJ1aTFE,3,2,https://www.smdproperty.com/
"119 W Fifth Ave #100, Knoxville, TN 37917, USA",commercial_real_estate,35.9736159,-83.9219555,SVN | Wood Properties,(865) 936-9999,ChIJp6XiRMEXXIgREq6vmVS79vY,4.9,60,http://svnwood.com/
"520 W Summit Hill Dr SW #903, Knoxville, TN 37902, USA",commercial_real_estate,35.9652119,-83.92187489999999,Conversion Properties Inc,(865) 246-1331,ChIJeSxARcEXXIgRCHTZ2uCW1Mg,3,2,http://www.conversionprop.com/
"1537 Western Ave, Knoxville, TN 37921, USA",commercial_real_estate,35.96629679999999,-83.93573769999999,Webb Properties,(865) 922-5500,ChIJAUwizHwVXIgRCjpqWibcTkU,4,4,https://webbpropertiestn.com/
"1537 Western Ave Suite 365, Knoxville, TN 37921, USA",commercial_real_estate,35.9664295,-83.9348522,Trevor Prichard- The Real Estate Firm,(865) 765-9897,ChIJqSvSkhcjXIgRg8wKeN64tuY,5,1,http://trevorprichard.treftn.com/
"503 Clinch Ave #101, Knoxville, TN 37902, USA",commercial_real_estate,35.9635133,-83.92010239999999,Realty Executives Downtown,(865) 805-8222,ChIJZWGm-YAXXIgRzOSFHx8wYNE,3,2,http://readowntown.com/
"1209 Euclid Ave NW Suite 203, Knoxville, TN 37921, USA",commercial_real_estate,35.9648637,-83.93576949999999,Knox Realty,(703) 342-9163,ChIJm68vs6clXIgRho0LqiwTi9Y,4.9,15,http://www.knoxhouses.com/
"428 E Scott Ave, Knoxville, TN 37917, USA",commercial_real_estate,35.9866168,-83.926824,"Intempus Management - Knoxville, TN",(844) 548-3983,ChIJ0UW7wFYXXIgRoG41syiHKRM,4.4,42,https://intempuspropertymanagement.com/
"1209 Euclid Ave NW Ste 205, Knoxville, TN 37921, USA",commercial_real_estate,35.9648637,-83.93576949999999,PMI Knoxville,(865) 973-9696,ChIJmXyVxP0jXIgRsmFa58954r4,4.3,50,https://www.knoxvillepropertymanagementinc.com/
"1719 N Central St, Knoxville, TN 37917, USA",commercial_real_estate,35.9859409,-83.93510119999999,FIG Property Management,(865) 296-0358,ChIJv8kvuuYuXIgRhLYwunbB0vM,4.1,262,https://figpminc.com/
"2358 Woodbine Ave Knoxville, TN 377917, Knoxville, TN 37917, USA",commercial_real_estate,35.9844763,-83.9002095,Dwell Real Estate and Property Management,(865) 973-2346,ChIJW-tyk9wXXIgR8wy7hW9cZ34,5,2,http://www.dwellrealtytn.com/
"729 N, Hall of Fame Dr, Knoxville, TN 37917, USA",commercial_real_estate,35.9779094,-83.9168931,Jarrod Cruze Realtor,(865) 771-2652,ChIJf4fR8J8vXIgRA2V89kPKlDI,5,80,
"900 E Hill Ave Ste 110, Knoxville, TN 37915, USA",commercial_real_estate,35.9695171,-83.9061286,"Madeline Hite, REALTOR",(865) 270-0290,ChIJkz6fB7csEKMRnzefuqumOi8,5,3,https://www.madelinehiterealtor.com/
"900 E Hill Ave Ste 110, Knoxville, TN 37915, USA",commercial_real_estate,35.9695171,-83.9061286,Kristoffer Barnes,(865) 602-1940,ChIJT97E3f8PhWURfkpKqZGiZWw,5,16,https://kristofferbarnesproperty.com/
"900 E Hill Ave Ste 110, Knoxville, TN 37915, USA",commercial_real_estate,35.96977,-83.9062828,Brick & Mortar Properties,(865) 686-5100,ChIJLVFOpuIXXIgRt6YtMhko9Rg,4.4,57,http://www.brickmortarproperties.com/
"1013 N Broadway, Knoxville, TN 37917, USA",commercial_real_estate,35.9819349,-83.9234886,Brun Property Management LLC,(865) 686-5312,ChIJm30ut74kXIgRN4eI1g-Gp_I,3.7,160,https://brunpm.com/index.asp
"2248 McCalla Ave, Knoxville, TN 37915, USA",commercial_real_estate,35.9793923,-83.8983389,Hodge Properties,(865) 971-4349,ChIJrYBT6FIWXIgRgYThL31Oxmo,4.3,16,
"215 Willow Ave, Knoxville, TN 37915, USA",commercial_real_estate,35.9702833,-83.9178331,Terminus Real Estate,(865) 673-6300,ChIJLdK5YcUXXIgRQS2FLFynBSM,4.4,8,http://terminusrealestate.com/
"417 Holly St #101, Knoxville, TN 37917, USA",commercial_real_estate,35.9793198,-83.9083141,First Neighborhoods Realty,(865) 446-0055,ChIJITvwB8UXXIgRXkvGU7vm6ew,5,84,http://firstneighborhoods.com/
"517 Union Ave SW, Knoxville, TN 37902, USA",commercial_real_estate,35.9642081,-83.92074149999999,Mc Spadden Real Estate Services Inc,,ChIJI1xHx8QXXIgRRBUja6_p83s,5,1,
"323 Union Ave, Knoxville, TN 37902, USA",commercial_real_estate,35.9650164,-83.91887849999999,Jacob Copeland - Realty Executives Associates,(931) 629-6815,ChIJq2B1SOYXXIgRSNxtGwZE3XY,5,4,https://knoxhomessold.com/
"6408 Clinton Hwy Ste 7, Knoxville, TN 37912, USA",commercial_real_estate,36.0084788,-84.01035519999999,NBS Property Management,(865) 347-2729,ChIJK8grm3g9XIgRyZoz_uJzx_g,4.7,25,https://www.nbspropertymanagement.com/
"100 Dalton Pl Wy Suite 105, Knoxville, TN 37912, USA",commercial_real_estate,36.0051639,-83.9624031,Maddox Companies,(865) 522-9910,ChIJOyyAzsc9XIgRjZWsBTO84Ik,5,2,http://www.maddoxcompany.com/
