address,industry,lat,lng,name,phone,place_id,rating,review_count,website
"6426 Baum Dr, Knoxville, TN 37919, USA",insurance_agents,35.9279988,-84.0061839,Whedbee Insurance Agency,(865) 584-2275,ChIJt_CvtFojXIgR3VftUJUY3PY,4.9,22,http://www.whedbeeinsurance.com/
"6906 Kingston Pike # 201, Knoxville, TN 37919, USA",insurance_agents,35.9317652,-84.019825,YNIA,(865) 327-6811,ChIJIY2uXgIlXIgRcr_Mx2Vjy-w,5,28,http://www.youngnational.com/
"6209 Baum Dr, Knoxville, TN 37919, USA",insurance_agents,35.9302305,-84.0027116,Inter-Agency Insurance Services,(865) 637-4519,ChIJU1tbbU8jXIgR3T6j8qppTLg,4.9,58,https://www.inter-agencyinsurance.com/
"6423 Deane Hill Dr, Knoxville, TN 37919, USA",insurance_agents,35.9304737,-84.0095523,Tate Insurance Group,(865) 862-8233,ChIJhVOCklAjXIgReu2iBkYIGpE,4.3,43,http://tateinsurancegroup.com/
"5816 Kingston Pike #5, Knoxville, TN 37919, USA",insurance_agents,35.933111,-83.9994184,Daniel Austin: Allstate Insurance,(865) 694-4191,ChIJKSemrFAlXIgRxaAHaA3ek6I,4.9,141,https://agents.allstate.com/daniel-austin-knoxville-tn.html?utm_source=GMB&utm_medium=Website
"6712 Kingston Pike, Knoxville, TN 37919, USA",insurance_agents,35.9316592,-84.0144313,Newton Jones Agency,(865) 588-3558,ChIJH4ovr1cjXIgR-Jx6tGf5d2k,5,9,https://www.newtonjonesagency.com/
"6906 Kingston Pike # 201, Knoxville, TN 37919, USA",insurance_agents,35.9317652,-84.019825,Young National Insurance Agency,(865) 327-6811,ChIJe8sfIvIOwY0Rot9eUnmXX0o,5,1,http://www.youngnational.com/
"1204 Kenesaw Ave B, Knoxville, TN 37919, USA",insurance_agents,35.9341679,-83.9632319,"First Light Insurance Group, LLC",(865) 290-4235,ChIJC_fI7SykVSsRH2JVf_7dJ8s,5,18,https://firstlightinsurancegroup.com/
"6700 Baum Dr #5, Knoxville, TN 37919, USA",insurance_agents,35.9265884,-84.0107506,Truckers National Insurance,(865) 722-7431,ChIJYwOoMR8jXIgR3wRzyIx2Y9I,5,371,https://truckersnational.com/
"7671 S Northshore Dr #1, Knoxville, TN 37919, USA",insurance_agents,35.90370720000001,-84.0210455,Matt Cunningham - State Farm Insurance Agent,(865) 693-4900,ChIJw62t7oMkXIgRH38k3HWIuEQ,4.9,153,https://cunninghamsf.com/
