address,lat,lng,name,phone,place_id,rating,reviews,website
"11020 Kingston Pike #330, Knoxville, TN 37934, USA",35.8887187,-84.14800679999999,Keyrenter Knoxville Property Management,(865) 999-4539,ChIJX7K6GZwvXIgRcHiNumm-pQ4,4.8,111,https://keyrenterknoxville.com/
"322 Nancy Lynn Ln #1, Knoxville, TN 37919, USA",35.9260775,-84.01019289999999,Muller Realty and Property Management,(865) 272-6164,ChIJgYJ1ZNUjXIgR70ydbgTjRvs,4.7,62,https://mullertn.com/
"5204 Kingston Pike #21, Knoxville, TN 37919, USA",35.938068,-83.989072,Tennessee Valley Realty Associates,(865) 247-6749,ChIJsy3Z1B8lXIgRHl61B3WeE10,4.5,204,http://w7t.92e.myftpupload.com/
"4420 Whittle Springs Rd, Knoxville, TN 37917, USA",36.015524,-83.919266,Asset Realty Management,(865) 247-0027,ChIJ0ThVEQ8WXIgRRkgAUgmJcS0,4.1,444,http://armtn.com/
"428 E Scott Ave, Knoxville, TN 37917, USA",35.9866168,-83.926824,"Intempus Management - Knoxville, TN",(844) 548-3983,ChIJ0UW7wFYXXIgRoG41syiHKRM,4.4,42,https://intempuspropertymanagement.com/
"10255 Kingston Pike, Knoxville, TN 37922, USA",35.9013624,-84.12578680000001,"Fennell Property Management, Inc.",(865) 803-6413,ChIJp0n8ZQovXIgRO2m0VFNNDH0,3.6,35,https://fennellpm.com/
"500 Ebenezer Rd, Knoxville, TN 37923, USA",35.9054791,-84.0731833,Jacob Lei Property Management LLC,(865) 675-7368,ChIJq5vhFlIuXIgRLX_MH16AWsI,4.2,506,http://jacoblei.com/
"813 S Northshore Dr Suite 101, Knoxville, TN 37919, USA",35.9247404,-83.9989476,Wallace Real Estate - Northshore | Property Management & Residential Sales,(865) 584-4700,ChIJvSBF5kYjXIgRn1JkM_os2oI,3.4,25,http://www.wallacerents.com/
"5700 Pleasant Ridge Rd, Knoxville, TN 37912, USA",35.9922209,-84.00283979999999,Lighthouse Management Llc,,ChIJO-KEmGU8XIgRk3-hoqlg_o8,3.7,20,https://lighthouseknox.com/
"1013 N Broadway, Knoxville, TN 37917, USA",35.9819349,-83.9234886,Brun Property Management LLC,(865) 686-5312,ChIJm30ut74kXIgRN4eI1g-Gp_I,3.7,160,https://brunpm.com/index.asp
"1213 W Lamar Alexander Pkwy, Maryville, TN 37801, USA",35.7509117,-83.9970415,Realty Executives Associates Property Management,(865) 984-1111,ChIJ9RH_ZQovXIgRxm9PIFOIfwA,3,17,http://realtyexecutivesleasing.com/
"9041 Executive Park Dr, Knoxville, TN 37923, USA",35.922379,-84.0817706,Associa Tennessee,(865) 692-0930,ChIJMSg9H0AlXIgRq7kWZYztOOA,4.1,149,https://associaonline.com/locations/morris-property-management?utm_source=gmb&utm_medium=Yext&y_source=1_Mjc2NjU5MTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
"3214 Tazewell Pike #103, Knoxville, TN 37918, USA",36.028701,-83.92011889999999,Real Property Management Marble City,(865) 265-0535,ChIJTRdmKWwVXIgRyE5ObD_5GVE,5,23,https://www.rpmmarblecity.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic
"1719 N Central St, Knoxville, TN 37917, USA",35.9859409,-83.93510119999999,FIG Property Management,(865) 296-0358,ChIJv8kvuuYuXIgRhLYwunbB0vM,4.1,262,https://figpminc.com/
"2204 Nadine St, Knoxville, TN 37917, USA",35.9949902,-83.9155921,Pittman Properties,(865) 282-4344,ChIJ-aeXUjkWXIgRRou5eiDhUD8,5,75,http://www.pittmanproperties.com/
"1301 Avalon Dr, Louisville, TN 37777, USA",35.859899,-83.9802327,APEX Property Management,(865) 934-0968,ChIJ93oEKhcjXIgRzsc67mNQWjE,3.8,82,https://www.apexknox.com/
"1209 Euclid Ave NW Ste 205, Knoxville, TN 37921, USA",35.9648637,-83.93576949999999,PMI Knoxville,(865) 973-9696,ChIJmXyVxP0jXIgRsmFa58954r4,4.3,50,https://www.knoxvillepropertymanagementinc.com/
"119 W Fifth Ave #100, Knoxville, TN 37917, USA",35.9736159,-83.9219555,SVN | Wood Properties,(865) 936-9999,ChIJp6XiRMEXXIgREq6vmVS79vY,4.9,60,http://svnwood.com/
"900 E Hill Ave Ste 110, Knoxville, TN 37915, USA",35.96977,-83.9062828,Brick & Mortar Properties,(865) 686-5100,ChIJLVFOpuIXXIgRt6YtMhko9Rg,4.4,57,http://www.brickmortarproperties.com/
"1553 Coleman Rd, Knoxville, TN 37909, USA",35.949852,-83.9942394,Absolute Mountain Property Management LLC,(865) 333-1671,ChIJVVUp_bc8XIgRWgXsrZ43-RQ,5,1,https://www.absolutemountainpropertymanagement.com/contact
"6408 Clinton Hwy Ste 7, Knoxville, TN 37912, USA",36.0084788,-84.01035519999999,NBS Property Management,(865) 347-2729,ChIJK8grm3g9XIgRyZoz_uJzx_g,4.7,25,https://www.nbspropertymanagement.com/
"3615 Wrights Ferry Rd, Louisville, TN 37777, USA",35.8499167,-83.9873647,Meadowland Property Management,(865) 970-4476,ChIJH9nl-2IhXIgRs1r-Q0v3rdQ,3.4,47,https://brunpm.com/index.asp
"101 Ridgeview Way, Clinton, TN 37716, USA",36.1120726,-84.1138883,WB Realty LLC,,ChIJS8W7-3w3XIgRC7BrOL7OHLE,5,2,
"2428 Sutherland Ave, Knoxville, TN 37919, USA",35.9554494,-83.9548605,Holmes Property Management,(865) 444-4065,ChIJMSvqoTA9XIgR8qRVg3yN224,2.7,36,https://www.rentutk.com/
"200 Prosperity Dr, Knoxville, TN 37923, USA",35.9221416,-84.07681199999999,Wise Property Solutions,(865) 643-8989,ChIJK4jVKj4lXIgRTXXN1Ne202k,4.6,54,https://www.wisepropertysolutions.com/knoxville-community-property-management
