address,industry,lat,lng,name,phone,place_id,rating,review_count,website
"322 Nancy Lynn Ln #1, Knoxville, TN 37919, USA",property_management,35.9260775,-84.01019289999999,Muller Realty and Property Management,(865) 272-6164,ChIJgYJ1ZNUjXIgR70ydbgTjRvs,4.7,62,https://mullertn.com/
"813 S Northshore Dr Suite 101, Knoxville, TN 37919, USA",property_management,35.9247404,-83.9989476,Wallace Real Estate - Northshore | Property Management & Residential Sales,(865) 584-4700,ChIJvSBF5kYjXIgRn1JkM_os2oI,3.4,25,http://www.wallacerents.com/
"6480 Kingston Pike, Knoxville, TN 37919, USA",property_management,35.9312681,-84.00998380000001,Premier Property Management,(865) 231-9800,ChIJPeRj6FAjXIgR5q8NB13hrs8,3,1,https://ppmknox.com/contact/
"7741 S Northshore Dr #103, Knoxville, TN 37919, USA",property_management,35.9021927,-84.0229894,Holrob Commercial Realty LLC,(865) 637-3770,ChIJEdhEUUUjXIgR8ZZ70gI_ioc,4.2,17,http://www.holrob.com/
"5410 Homberg Dr # A, Knoxville, TN 37919, USA",property_management,35.9357851,-83.9911162,Southern Management & Development,(865) 584-4175,ChIJcXAcaTQjXIgRCToHiJ1aTFE,3,2,https://www.smdproperty.com/
"119 Westfield Rd SW, Knoxville, TN 37919, USA",property_management,35.9335491,-84.01378439999999,Connell Properties Inc,(865) 588-0220,ChIJLyRb81YjXIgR8Z1do4s0PP8,4,4,https://www.connellproperties.com/
"318 Erin Dr SW #11, Knoxville, TN 37919, USA",property_management,35.9285175,-84.0024538,Keenland Heights LLC,(865) 985-0046,ChIJ4_Yx80UjXIgRQn8pz550IPc,5,1,
"Berkshire Hathaway HomeServices Dean-Smith, 412 S Northshore Dr, Knoxville, TN 37919, USA",property_management,35.9289402,-84.0003267,"Debby with a ""Y"" Hill - REALTOR",(865) 567-3204,ChIJueP4hvEjXIgRhGU2g-c_9C8,5,41,http://debbyhill.com/
"813 S Northshore Dr #202b, Knoxville, TN 37919, USA",property_management,35.924716,-83.9989351,Mike Fuller Realty & Co.,(865) 909-7471,ChIJeSxARcEXXIgRAa20SUlWrQA,4.5,8,http://mikefullerrealty.com/
"3805 Cherokee Woods Way, Knoxville, TN 37920, USA",property_management,35.9350713,-83.9291021,Woodlands of Knoxville,(865) 609-4034,ChIJISR90AEYXIgRwCJR6zkDh0k,3.7,143,http://www.woodlandsofknoxville.com/
"5910 Chalmers Dr SW, Knoxville, TN 37920, USA",property_management,35.9163898,-83.8866822,Eubanks Property Management,(865) 335-1522,ChIJVVXBmMsZXIgRiseehMCTLdY,,,https://www.eubankspropertymgmt.com/contact
