industry,lat,lng,raw_address,raw_company_name,raw_email,raw_json,raw_phone,raw_website,source,source_id
property_management,,,3501 Neal Dr,Affordable Demolition & Construction,,,(865) 973-6757,,yellowpages,/knoxville-tn/mip/affordable-demolition-construction-460891340?lid=1002000752140
property_management,,,10690 Murdock Dr,Jacob Lei Property Management,,,(865) 675-7368,,yellowpages,/knoxville-tn/mip/jacob-lei-property-management-464677295
property_management,,,1528 Coleman Rd,Emerald Housing Partners,,,(865) 637-0373,,yellowpages,/knoxville-tn/mip/emerald-housing-partners-3582876
property_management,,,318 N Gay St,Regas Restaurant,,,(865) 415-2022,,yellowpages,/knoxville-tn/mip/regas-restaurant-473041522
property_management,,,10820 Kingston Pike Ste 14,Lt Properties,,,(865) 392-1608,,yellowpages,/knoxville-tn/mip/lt-properties-523688913
property_management,,,3101 Washington Ridge Way,Spring Meadow,,,(865) 544-8359,,yellowpages,/knoxville-tn/mip/spring-meadow-481743754
property_management,,,10140 Gallows Point Dr,Starks Properties,,,(865) 470-9939,,yellowpages,/knoxville-tn/mip/starks-properties-6939950
property_management,,,1209 Euclid Ave Ste 205,PMI Knoxville,,,(865) 973-9696,,yellowpages,/knoxville-tn/mip/pmi-knoxville-569497972
property_management,,,2240 Grand Ave,Society 865,,,(833) 432-1185,,yellowpages,/knoxville-tn/mip/society-865-483283493
property_management,,,1005 Stewart St,Knox County,,,(865) 633-5019,,yellowpages,/knoxville-tn/mip/knox-county-10111690
property_management,,,1013 N Broadway St,Brun Property Management,,,(865) 686-5312,,yellowpages,/knoxville-tn/mip/brun-property-management-538294815
property_management,,,4000 Pleasant Ridge Rd,AO Realty Corp.,,,(865) 329-0009,,yellowpages,/knoxville-tn/mip/ao-realty-corp-850079
property_management,,,3214 Tazewell Pike Ste 103,Real Property Management Marble City,,,(865) 265-0535,,yellowpages,/knoxville-tn/mip/real-property-management-marble-city-576140876
property_management,,,109 S Northshore Dr,Hughes Properties Realty,,,(865) 251-3263,,yellowpages,/knoxville-tn/mip/hughes-properties-realty-567696023
property_management,,,109 S Northshore Dr Ste 200,Doug Ewell - Realty Executives Associates,,,(865) 805-9838,,yellowpages,/knoxville-tn/mip/doug-ewell-realty-executives-associates-452229065
property_management,,,7700 Gleason Dr,Deane Hill,,,(865) 888-5644,,yellowpages,/knoxville-tn/mip/deane-hill-2136747
property_management,,,200 Prosperity Dr,Wise Property Solutions,,,(865) 643-8989,,yellowpages,/knoxville-tn/mip/wise-property-solutions-515367039
property_management,,,123 Center Park Dr,eRealty Concepts LLC,,,(865) 688-9988,,yellowpages,/knoxville-tn/mip/erealty-concepts-llc-26007078
property_management,,,10905 Hawkes Bay Way,Greystone Pointe,,,(865) 236-5578,,yellowpages,/knoxville-tn/mip/greystone-pointe-544235850
property_management,,,710 Locust St Ste 109,H & S Resource,,,(865) 971-4041,,yellowpages,/knoxville-tn/mip/h-s-resource-517171789
property_management,,,706 Walnut St Ste 404,A B C Loan and Thrift Inc,,,(865) 546-3471,,yellowpages,/knoxville-tn/mip/a-b-c-loan-and-thrift-inc-540992339
property_management,,,1004 Game Day Way,Game Day Centers,,,(865) 673-8567,,yellowpages,/knoxville-tn/mip/game-day-centers-13308768
property_management,,,800 Market St,H & S Resource Inc,,,(865) 971-4450,,yellowpages,/knoxville-tn/mip/h-s-resource-inc-517160306
property_management,,,510 Union Ave,Investors Management Service Inc,,,(865) 522-5500,,yellowpages,/knoxville-tn/mip/investors-management-service-inc-4380641
property_management,,,625 S Gay St,Renal Management Company,,,(865) 633-6522,,yellowpages,/knoxville-tn/mip/renal-management-company-499066760
property_management,,,708 S Gay St Ste 200,American Apartment Management Co,,,(865) 521-3523,,yellowpages,/knoxville-tn/mip/american-apartment-management-co-497091367
property_management,,,900 S Gay St Ste 1200,Aluminum Company of America,,,(865) 637-4953,,yellowpages,/knoxville-tn/mip/aluminum-company-of-america-543345010
property_management,,,900 S Gay St,Sequoyah Equities Inc,,,(865) 549-7441,,yellowpages,/knoxville-tn/mip/sequoyah-equities-inc-7167208
property_management,,,708 S Gay St,Lincoln Park Apartments,,,(317) 477-0820,,yellowpages,/knoxville-tn/mip/lincoln-park-apartments-551169619
property_management,,,507 S Gay St,Eagle Properties Inc,,,(865) 637-2683,,yellowpages,/knoxville-tn/mip/eagle-properties-inc-11515433
property_management,,,415 Miller Ave,Dawson Street,,,(865) 200-5745,,yellowpages,/knoxville-tn/mip/dawson-street-468745988
property_management,,,425 Sutherland View Way,Sutherland Flats,,,(865) 240-3329,,yellowpages,/knoxville-tn/mip/sutherland-flats-505089715
property_management,,,1111 Elk Hill Way,Cassell View Ap,,,(865) 766-5320,,yellowpages,/knoxville-tn/mip/cassell-view-ap-536350748
property_management,,,2100 Wilson Rd,Gables,,,(865) 522-2100,,yellowpages,/knoxville-tn/mip/gables-10251077
property_management,,,4013 Peaks Landing Way,Peaks at Knoxville,,,(865) 687-7777,,yellowpages,/knoxville-tn/mip/peaks-at-knoxville-9110414
property_management,,,414 N Forest Park Blvd,Forest Park 414,,,(865) 584-1424,,yellowpages,/knoxville-tn/mip/forest-park-414-90155
property_management,,,5005 Inskip Rd,Williamsburg Village,,,(865) 688-7531,,yellowpages,/knoxville-tn/mip/williamsburg-village-7097715
property_management,,,5700 Pleasant Ridge Rd,Ppr,,,(865) 200-8345,,yellowpages,/knoxville-tn/mip/ppr-467179532
property_management,,,3399 Lake Brook Blvd,Westwood Aptsoffice,,,(865) 584-6010,,yellowpages,/knoxville-tn/mip/westwood-aptsoffice-461895860
property_management,,,5120 Andover Green Way,Cottages on Tazewell,,,(865) 686-5525,,yellowpages,/knoxville-tn/mip/cottages-on-tazewell-503996062
property_management,,,308 W Jackson Ave,Dewhirst Properties,,,(865) 525-0533,,yellowpages,/knoxville-tn/mip/dewhirst-properties-524681274
property_management,,,2950 Middlebrook Pike,DFS Property Management,,,(865) 544-1717,,yellowpages,/knoxville-tn/mip/dfs-property-management-2451233
property_management,,,813 S Northshore Dr,First Southern Mortgage,,,(865) 584-2300,,yellowpages,/knoxville-tn/mip/first-southern-mortgage-15377776
property_management,,,320 N Cedar Bluff Rd,Aamci,,,(865) 525-7500,,yellowpages,/knoxville-tn/mip/aamci-567943391
insurance_agents,,,6545 Clinton Hwy,Shackleford Mitchell D - Insurance Solutions,,,(865) 938-0000,,yellowpages,/knoxville-tn/mip/shackleford-mitchell-d-insurance-solutions-14030551?lid=1002182652680
insurance_agents,,,6334 Chapman Highway,Dott Baker Insurance Agency,,,(865) 427-3083,,yellowpages,/knoxville-tn/mip/dott-baker-insurance-agency-481314974?lid=1002177782037
insurance_agents,,,6209 Baum Dr,Inter-Agency Insurance,,,(865) 637-4519,,yellowpages,/knoxville-tn/mip/inter-agency-insurance-6766919?lid=1002182927642
insurance_agents,,,304 S Peters Rd,Mark Newby - State Farm Insurance Agent,,,(865) 693-7161,,yellowpages,/knoxville-tn/mip/mark-newby-state-farm-insurance-agent-8670695?lid=1000157511489
